Title,Count of tasks_to_dwas.csv
Mental Health and Substance Abuse Social Workers,18
Medical Appliance Technicians,18
Gem and Diamond Workers,18
Gambling Cage Workers,18
Food Science Technicians,18
Fiberglass Laminators and Fabricators,18
Family Medicine Physicians,18
"Excavating and Loading Machine and Dragline Operators, Surface Mining",18
Epidemiologists,18
Dental Hygienists,18
Curators,18
"Credit Authorizers, Checkers, and Clerks",18
Cost Estimators,18
Concierges,18
Computer and Information Research Scientists,18
Choreographers,18
Calibration Technologists and Technicians,18
Business Intelligence Analysts,18
Brickmasons and Blockmasons,18
Biofuels/Biodiesel Technology and Product Development Managers,18
Bill and Account Collectors,18
Automotive and Watercraft Service Attendants,18
Astronomers,18
Appraisers of Personal and Business Property,18
Aerospace Engineers,18
Transportation Planners,19
"Stone Cutters and Carvers, Manufacturing",19
Social Science Research Assistants,19
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",19
Sales Managers,19
Real Estate Brokers,19
"Pump Operators, Except Wellhead Pumpers",19
Pipelayers,19
Phlebotomists,19
Motorboat Operators,19
Motion Picture Projectionists,19
Medical and Clinical Laboratory Technicians,19
"Interviewers, Except Eligibility and Loan",19
"Human Resources Assistants, Except Payroll and Timekeeping",19
Hospitalists,19
Health Education Specialists,19
"Glass Blowers, Molders, Benders, and Finishers",19
First-Line Supervisors of Personal Service Workers,19
Financial Examiners,19
"Farmworkers, Farm, Ranch, and Aquacultural Animals",19
Civil Engineers,19
"Bus Drivers, Transit and Intercity",19
Blockchain Engineers,19
Baggage Porters and Bellhops,19
"Administrative Law Judges, Adjudicators, and Hearing Officers",19
Acupuncturists,19
Zoologists and Wildlife Biologists,20
Urologists,20
Tutors,20
Travel Guides,20
Sociologists,20
Ship Engineers,20
"Service Unit Operators, Oil and Gas",20
Security and Fire Alarm Systems Installers,20
Rehabilitation Counselors,20
Range Managers,20
Prepress Technicians and Workers,20
Precision Agriculture Technicians,20
Pharmacists,20
"Patternmakers, Metal and Plastic",20
Orthotists and Prosthetists,20
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",20
Lighting Technicians,20
Landscape Architects,20
Hydrologic Technicians,20
First-Line Supervisors of Construction Trades and Extraction Workers,20
Fabric and Apparel Patternmakers,20
Desktop Publishers,20
"Derrick Operators, Oil and Gas",20
Dermatologists,20
Correspondence Clerks,20
"Bus Drivers, School",20
Boilermakers,20
Bailiffs,20
Automotive Engineering Technicians,20
Art Directors,20
Agricultural Inspectors,20
Agricultural Engineers,20
Actors,20
Writers and Authors,21
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",21
"Teaching Assistants, Postsecondary",21
Surgical Technologists,21
"Substitute Teachers, Short-Term",21
Slaughterers and Meat Packers,21
Skincare Specialists,21
Railroad Conductors and Yardmasters,21
Psychiatric Aides,21
"Production, Planning, and Expediting Clerks",21
Paramedics,21
Orderlies,21
"Ophthalmologists, Except Pediatric",21
Obstetricians and Gynecologists,21
Neurodiagnostic Technologists,21
Medical Secretaries and Administrative Assistants,21
Medical Records Specialists,21
Marriage and Family Therapists,21
Manicurists and Pedicurists,21
Loan Interviewers and Clerks,21
Judicial Law Clerks,21
Helpers--Roofers,21
Healthcare Social Workers,21
Geothermal Production Managers,21
Gambling and Sports Book Writers and Runners,21
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",21
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",21
Forest and Conservation Workers,21
Financial Quantitative Analysts,21
Fashion Designers,21
Equal Opportunity Representatives and Officers,21
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",21
"Disc Jockeys, Except Radio",21
"Cooks, Fast Food",21
Compliance Officers,21
"Coin, Vending, and Amusement Machine Servicers and Repairers",21
Clinical Neuropsychologists,21
Chemical Plant and System Operators,21
Bartenders,21
Bakers,21
Animal Control Workers,21
Tour Guides and Escorts,22
Tire Builders,22
Social and Community Service Managers,22
School Bus Monitors,22
Retail Loss Prevention Specialists,22
Remote Sensing Scientists and Technologists,22
Receptionists and Information Clerks,22
Project Management Specialists,22
"Physicians, Pathologists",22
Personal Financial Advisors,22
Order Clerks,22
"Opticians, Dispensing",22
Ophthalmic Laboratory Technicians,22
Operations Research Analysts,22
Occupational Therapists,22
Nuclear Engineers,22
Nannies,22
Museum Technicians and Conservators,22
Metal-Refining Furnace Operators and Tenders,22
"Makeup Artists, Theatrical and Performance",22
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",22
Industrial-Organizational Psychologists,22
Hydroelectric Production Managers,22
"Grinding and Polishing Workers, Hand",22
First-Line Supervisors of Production and Operating Workers,22
First-Line Supervisors of Passenger Attendants,22
First-Line Supervisors of Non-Retail Sales Workers,22
Financial Managers,22
File Clerks,22
Fallers,22
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",22
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",22
"Energy Engineers, Except Wind and Solar",22
Emergency Medicine Physicians,22
"Electrical and Electronics Installers and Repairers, Transportation Equipment",22
Editors,22
Dental Assistants,22
Computer Hardware Engineers,22
"Camera Operators, Television, Video, and Film",22
Bridge and Lock Tenders,22
Bioinformatics Technicians,22
Bioinformatics Scientists,22
Barbers,22
Anesthesiologists,22
Anesthesiologist Assistants,22
Aircraft Service Attendants,22
Agricultural Equipment Operators,22
Adapted Physical Education Specialists,22
Validation Engineers,23
Stonemasons,23
Spa Managers,23
Social and Human Service Assistants,23
Radio Frequency Identification Device Specialists,23
Public Safety Telecommunicators,23
Psychiatric Technicians,23
Postal Service Mail Carriers,23
Postal Service Clerks,23
Physical Therapist Aides,23
Penetration Testers,23
"Patternmakers, Wood",23
"Painters, Construction and Maintenance",23
Outdoor Power Equipment and Other Small Engine Mechanics,23
"Orthopedic Surgeons, Except Pediatric",23
Nuclear Power Reactor Operators,23
"Model Makers, Metal and Plastic",23
Manufactured Building and Mobile Home Installers,23
"Maintenance Workers, Machinery",23
Industrial Machinery Mechanics,23
"Helpers--Installation, Maintenance, and Repair Workers",23
Health Information Technologists and Medical Registrars,23
Hazardous Materials Removal Workers,23
Gambling Managers,23
Gambling Dealers,23
Fundraising Managers,23
Foresters,23
Forest and Conservation Technicians,23
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",23
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",23
Farm Equipment Mechanics and Service Technicians,23
Energy Auditors,23
"Directors, Religious Activities and Education",23
Customs Brokers,23
Counter and Rental Clerks,23
Coroners,23
"Cooks, Institution and Cafeteria",23
Chefs and Head Cooks,23
Automotive Glass Installers and Repairers,23
"Arbitrators, Mediators, and Conciliators",23
Amusement and Recreation Attendants,23
Administrative Services Managers,23
"Wholesale and Retail Buyers, Except Farm Products",24
Tire Repairers and Changers,24
"Tank Car, Truck, and Ship Loaders",24
"Switchboard Operators, Including Answering Service",24
Structural Iron and Steel Workers,24
Shoe Machine Operators and Tenders,24
Sheet Metal Workers,24
Reservation and Transportation Ticket Agents and Travel Clerks,24
Recycling Coordinators,24
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",24
Procurement Clerks,24
Probation Officers and Correctional Treatment Specialists,24
"Pourers and Casters, Metal",24
Pharmacy Technicians,24
Pediatric Surgeons,24
Parts Salespersons,24
Ophthalmic Medical Technicians,24
Occupational Therapy Aides,24
Nuclear Medicine Technologists,24
Naturopathic Physicians,24
Medical and Clinical Laboratory Technologists,24
Logisticians,24
"Judges, Magistrate Judges, and Magistrates",24
Industrial Engineers,24
"Hotel, Motel, and Resort Desk Clerks",24
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",24
Gas Plant Operators,24
First-Line Supervisors of Police and Detectives,24
Film and Video Editors,24
Fence Erectors,24
"Entertainment and Recreation Managers, Except Gambling",24
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",24
Electrical and Electronic Equipment Assemblers,24
Dental Laboratory Technicians,24
Data Warehousing Specialists,24
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",24
Credit Counselors,24
Carpet Installers,24
"Career/Technical Education Teachers, Postsecondary",24
Cabinetmakers and Bench Carpenters,24
Biomass Plant Technicians,24
Advanced Practice Psychiatric Nurses,24
Word Processors and Typists,25
Weatherization Installers and Technicians,25
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",25
Telecommunications Line Installers and Repairers,25
"Tax Examiners and Collectors, and Revenue Agents",25
Software Developers,25
"Rotary Drill Operators, Oil and Gas",25
Recreational Vehicle Service Technicians,25
Paperhangers,25
"Office Machine Operators, Except Computer",25
Occupational Health and Safety Specialists,25
Motorcycle Mechanics,25
"Mixing and Blending Machine Setters, Operators, and Tenders",25
Medical Assistants,25
Media Programming Directors,25
Magnetic Resonance Imaging Technologists,25
"Locker Room, Coatroom, and Dressing Room Attendants",25
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",25
Intelligence Analysts,25
Information Technology Project Managers,25
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",25
Graphic Designers,25
Furniture Finishers,25
Forest Fire Inspectors and Prevention Specialists,25
Forensic Science Technicians,25
Food Cooking Machine Operators and Tenders,25
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",25
"Environmental Scientists and Specialists, Including Health",25
"Environmental Science and Protection Technicians, Including Health",25
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",25
Demonstrators and Product Promoters,25
"Cutters and Trimmers, Hand",25
Costume Attendants,25
"Cooks, Restaurant",25
Computer User Support Specialists,25
Computer Programmers,25
Cleaners of Vehicles and Equipment,25
Business Continuity Planners,25
Biochemists and Biophysicists,25
Baristas,25
"Architects, Except Landscape and Naval",25
Adhesive Bonding Machine Operators and Tenders,25
Water Resource Specialists,26
Veterinarians,26
"Ushers, Lobby Attendants, and Ticket Takers",26
Traffic Technicians,26
Surveyors,26
